# title: ADVERSARIAL HELD-OUT SET — phenomena in combination
# Each capture compounds two phenomena the 389-case held-out set tests
# one at a time. A failure here with both ingredients scoring well alone
# is evidence about composition, not about a missing feature.
id	pair	utterance	expect	keep	reject	families	note
AO12	role-x-people	the barber and Ines are both on Tuesday	Memory:note	barber|Ines	-	occupation-vs-person|multi-person	role and person share a date
AB01	brand-x-multi	google that pasta recipe and grab parmesan	Today:task|Today:shopping	recipe|parmesan	-	brand-verb|multi-task	brand as verb plus a shopping item
AB02	brand-x-multi	zoom Priya at four and send the agenda first	Today:event|Today:task	Priya|agenda	-	brand-verb|multi-task	brand verb carrying a time
AB03	brand-x-multi	uber to the airport and book the return	Today:task|Today:task	airport|return	-	brand-verb|multi-task	brand verb of motion
AB04	brand-x-multi	venmo Rose the rent and text her	Today:task|Today:task	Rose|rent	-	brand-verb|multi-task	brand verb with a noun-name
AB05	brand-x-multi	facetime Mum tonight and remind her about Thursday	Today:task	Mum|Thursday	-	brand-verb|multi-task	brand verb plus a reminder
AB06	brand-x-multi	slack the team the numbers and update the doc	Today:task|Today:task	numbers|doc	-	brand-verb|multi-task	brand verb with two objects
AB07	brand-x-multi	hoover the stairs and put the bins out	Today:task|Today:task	stairs|bins	-	brand-verb|multi-task	genericised trademark
AB08	brand-x-multi	whatsapp Ines the photos then delete them	Today:task|Today:task	Ines|photos	-	brand-verb|multi-task	brand verb next to a delete word
AB09	brand-x-multi	photoshop the header then post it to the site	Today:task|Today:task	header|site	-	brand-verb|multi-task	brand verb plus an ambiguous post
AB10	brand-x-multi	xerox the deed and file the original	Today:task|Today:task	deed|original	-	brand-verb|multi-task	dated trademark verb
AB11	brand-x-multi	google maps the route and leave by six	Today:task	route|six	-	brand-verb|multi-task	two-word brand plus a time
AB12	brand-x-multi	airbnb something near the station for the 14th	Today:task	station|14th	-	brand-verb|multi-task	brand verb plus a date
AE01	ellipsis-x-date	dentist on the 12th and the car on the 19th	Today:event|Today:event	dentist|12th|car|19th	-	ellipsis|multi-date	verb elided in both halves
AE02	ellipsis-x-date	rent on the 1st insurance on the 15th	Memory:note|Memory:note	rent|1st|insurance|15th	-	ellipsis|multi-date	no verb at all
AE03	ellipsis-x-date	gym Monday swim Wednesday	Memory:note|Memory:note	gym|swim	-	ellipsis|multi-date	bare noun and weekday pairs
AE04	ellipsis-x-date	school photos the 6th parents evening the 20th	Memory:note|Memory:note	photos|6th|parents evening|20th	-	ellipsis|multi-date	two events, no prepositions
AE05	ellipsis-x-date	flights the 4th hotel the 5th	Memory:note|Memory:note	flights|hotel	-	ellipsis|multi-date	consecutive dates, elided verbs
AE06	ellipsis-x-date	bins Tuesday recycling Thursday	Memory:note|Memory:note	bins|recycling	-	ellipsis|multi-date	two recurring chores
AE07	ellipsis-x-date	MOT in March service in September	Memory:note|Memory:note	MOT|service	-	ellipsis|multi-date	months rather than days
AE08	ellipsis-x-date	her birthday the 11th his the 30th	Memory:note|Memory:note	birthday|11th|30th	-	ellipsis|multi-date	possessive elided in the second
AE09	ellipsis-x-date	deposit Friday balance the following Friday	Memory:note|Memory:note	deposit|balance	-	ellipsis|multi-date	relative second date
AE10	ellipsis-x-date	invoice the 7th chased the 21st	Memory:note|Memory:note	invoice|7th	-	ellipsis|multi-date	elided subject across a tense change
AE11	ellipsis-x-date	Priya Tuesday Aurelio Thursday	Ambiguous	-	-	ellipsis|multi-date	two names two days and no verb; not decidable
AE12	ellipsis-x-date	mine's the 9th hers is the 23rd	Ambiguous	-	-	ellipsis|multi-date	referent of mine and hers is not recoverable
AI01	idiom-x-op	kill the Friday meeting	Op:cancel	Friday meeting	-	idiom|operation	violent verb meaning cancel
AI02	idiom-x-op	drop the Tuesday session	Op:cancel	Tuesday session	-	idiom|operation	drop as cancel
AI03	idiom-x-op	drop me at the station at six	Today:task	station|six	-	idiom|operation	same verb, not an operation
AI04	idiom-x-op	bin the old drafts	Op:cancel	old drafts	-	idiom|operation	bin as delete
AI05	idiom-x-op	cut the Thursday slot	Op:cancel	Thursday slot	-	idiom|operation	cut as cancel
AI06	idiom-x-op	cut the grass before Saturday	Today:task	grass|Saturday	-	idiom|operation	same verb, ordinary task
AI07	idiom-x-op	pull the listing	Op:cancel	listing	-	idiom|operation	pull as withdraw
AI08	idiom-x-op	axe the newsletter	Op:cancel	newsletter	-	idiom|operation	axe as cancel
AI09	idiom-x-op	that meeting killed me	Memory:note	meeting	-	idiom|operation	kill as idiom, nothing to cancel
AI10	idiom-x-op	I could murder a coffee	Memory:note	coffee	-	idiom|operation	violent verb, no operation at all
AI11	idiom-x-op	scrap the whole idea	Ambiguous	-	-	idiom|operation	no referent to act on
AI12	idiom-x-op	pull over at the next services	Ambiguous	-	-	idiom|operation	operation verb in a phrasal with no object
AT01	nottime-x-date	give me a second I'll book the Thursday slot	Today:task	Thursday	-	not-a-time|date	a second is not a duration here
AT02	nottime-x-date	in a minute remind me about the 14th	Today:task	14th	-	not-a-time|date	in a minute is not the reminder time
AT03	nottime-x-date	at the end of the day it's due Friday	Today:task	Friday	-	not-a-time|date	idiom that looks like a deadline
AT04	nottime-x-date	one of these days I'll sort it but rent is due the 1st	Memory:note	rent|1st	-	not-a-time|date	vague phrase beside a real date
AT05	nottime-x-date	for the time being keep Wednesday free	Today:task	Wednesday	-	not-a-time|date	hedging phrase plus a weekday
AT06	nottime-x-date	in no time at all it'll be the 20th	Memory:note	20th	-	not-a-time|date	no time is not a time
AT07	nottime-x-date	a minute's silence at eleven on the 11th	Memory:note	eleven|11th	-	not-a-time|date	minute as a noun, real time and date
AT08	nottime-x-date	half the time I forget but the MOT is the 9th	Memory:note	MOT|9th	-	not-a-time|date	half the time is a frequency idiom
AT09	nottime-x-date	any day now the parts arrive and fitting is Tuesday	Memory:note	Tuesday	-	not-a-time|date	any day now is not a date
AT10	nottime-x-date	on the hour every hour until Friday	Memory:note	Friday	-	not-a-time|date	real recurrence with an end date
AT11	nottime-x-date	the other day she mentioned the 17th	Memory:note	17th	-	not-a-time|date	the other day is past and vague
AT12	nottime-x-date	second thoughts aside book it for the 6th	Today:task	6th	-	not-a-time|date	second as an ordinal, not a unit
